1	〔בְּרֵאשִׁ֖ית｜1〕〔בָּרָ֣א｜2〕〔אֱלֹהִ֑ים｜3〕〔אֵ֥ת｜4〕〔הַשָּׁמַ֖יִם｜5〕〔וְאֵ֥ת｜6〕〔הָאָֽרֶץ׃｜7〕
2	〔וְהָאָ֗רֶץ｜18〕〔הָיְתָ֥ה｜19〕〔תֹ֙הוּ֙｜20〕〔וָבֹ֔הוּ｜21〕〔וְחֹ֖שֶׁךְ｜22〕〔עַל־｜23〕〔פְּנֵ֣י｜24〕〔תְה֑וֹם｜25〕〔וְר֣וּחַ｜26〕〔אֱלֹהִ֔ים｜27〕〔מְרַחֶ֖פֶת｜28〕〔עַל־｜29〕〔פְּנֵ֥י｜30〕〔הַמָּֽיִם׃｜31〕
3	〔וַיֹּ֥אמֶר｜42〕〔אֱלֹהִ֖ים｜43〕〔יְהִ֣י｜44〕〔א֑וֹר｜45〕〔וַֽיְהִי־｜46〕〔אֽוֹר׃｜47〕
4	〔וַיַּ֧רְא｜58〕〔אֱלֹהִ֛ים｜59〕〔אֶת־｜60〕〔הָא֖וֹר｜61〕〔כִּי־｜62〕〔ט֑וֹב｜63〕〔וַיַּבְדֵּ֣ל｜64〕〔אֱלֹהִ֔ים｜65〕〔בֵּ֥ין｜66〕〔הָא֖וֹר｜67〕〔וּבֵ֥ין｜68〕〔הַחֹֽשֶׁךְ׃｜69〕
5	〔וַיִּקְרָ֨א｜80〕〔אֱלֹהִ֤ים ׀｜81〕〔לָאוֹר֙｜82〕〔י֔וֹם｜83〕〔וְלַחֹ֖שֶׁךְ｜84〕〔קָ֣רָא｜85〕〔לָ֑יְלָה｜86〕〔וַֽיְהִי־｜87〕〔עֶ֥רֶב｜88〕〔וַֽיְהִי־｜89〕〔בֹ֖קֶר｜90〕〔י֥וֹם｜91〕〔אֶחָֽד׃｜92〕
6	〔וַיֹּ֣אמֶר｜104〕〔אֱלֹהִ֔ים｜105〕〔יְהִ֥י｜106〕〔רָקִ֖יעַ｜107〕〔בְּת֣וֹךְ｜108〕〔הַמָּ֑יִם｜109〕〔וִיהִ֣י｜110〕〔מַבְדִּ֔יל｜111〕〔בֵּ֥ין｜112〕〔מַ֖יִם｜113〕〔לָמָֽיִם׃｜114〕
7	〔וַיַּ֣עַשׂ｜125〕〔אֱלֹהִים֮｜126〕〔אֶת־｜127〕〔הָרָקִיעַ֒｜128〕〔וַיַּבְדֵּ֗ל｜129〕〔בֵּ֤ין｜130〕〔הַמַּ֙יִם֙｜131〕〔אֲשֶׁר֙｜132〕〔מִתַּ֣חַת｜133〕〔לָרָקִ֔יעַ｜134〕〔וּבֵ֣ין｜135〕〔הַמַּ֔יִם｜136〕〔אֲשֶׁ֖ר｜137〕〔מֵעַ֣ל｜138〕〔לָרָקִ֑יעַ｜139〕〔וַֽיְהִי־｜140〕〔כֵֽן׃｜141〕
8	〔וַיִּקְרָ֧א｜152〕〔אֱלֹהִ֛ים｜153〕〔לָֽרָקִ֖יעַ｜154〕〔שָׁמָ֑יִם｜155〕〔וַֽיְהִי־｜156〕〔עֶ֥רֶב｜157〕〔וַֽיְהִי־｜158〕〔בֹ֖קֶר｜159〕〔י֥וֹם｜160〕〔שֵׁנִֽי׃｜161〕
9	〔וַיֹּ֣אמֶר｜173〕〔אֱלֹהִ֗ים｜174〕〔יִקָּו֨וּ｜175〕〔הַמַּ֜יִם｜176〕〔מִתַּ֤חַת｜177〕〔הַשָּׁמַ֙יִם֙｜178〕〔אֶל־｜179〕〔מָק֣וֹם｜180〕〔אֶחָ֔ד｜181〕〔וְתֵרָאֶ֖ה｜182〕〔הַיַּבָּשָׁ֑ה｜183〕〔וַֽיְהִי־｜184〕〔כֵֽן׃｜185〕
10	〔וַיִּקְרָ֨א｜196〕〔אֱלֹהִ֤ים ׀｜197〕〔לַיַּבָּשָׁה֙｜198〕〔אֶ֔רֶץ｜199〕〔וּלְמִקְוֵ֥ה｜200〕〔הַמַּ֖יִם｜201〕〔קָרָ֣א｜202〕〔יַמִּ֑ים｜203〕〔וַיַּ֥רְא｜204〕〔אֱלֹהִ֖ים｜205〕〔כִּי־｜206〕〔טֽוֹב׃｜207〕
11	〔וַיֹּ֣אמֶר｜218〕〔אֱלֹהִ֗ים｜219〕〔תַּֽדְשֵׁ֤א｜220〕〔הָאָ֙רֶץ֙｜221〕〔דֶּ֔שֶׁא｜222〕〔עֵ֚שֶׂב｜223〕〔מַזְרִ֣יעַ｜224〕〔זֶ֔רַע｜225〕〔עֵ֣ץ｜226〕〔פְּרִ֞י｜227〕〔עֹ֤שֶׂה｜228〕〔פְּרִי֙｜229〕〔לְמִינ֔וֹ｜230〕〔אֲשֶׁ֥ר｜231〕〔זַרְעוֹ־｜232〕〔עַל־｜234〕〔הָאָ֑רֶץ｜235〕〔וַֽיְהִי־｜236〕〔כֵֽן׃｜237〕
12	〔וַתּוֹצֵ֨א｜248〕〔הָאָ֜רֶץ｜249〕〔דֶּ֠שֶׁא｜250〕〔עֵ֣שֶׂב｜251〕〔מַזְרִ֤יעַ｜252〕〔זֶ֙רַע֙｜253〕〔לְמִינֵ֔הוּ｜254〕〔וְעֵ֧ץ｜255〕〔עֹֽשֶׂה־｜256〕〔פְּרִ֛י｜257〕〔אֲשֶׁ֥ר｜258〕〔זַרְעוֹ־｜259〕〔לְמִינֵ֑הוּ｜261〕〔וַיַּ֥רְא｜262〕〔אֱלֹהִ֖ים｜263〕〔כִּי־｜264〕〔טֽוֹב׃｜265〕
13	〔וַֽיְהִי־｜276〕〔עֶ֥רֶב｜277〕〔וַֽיְהִי־｜278〕〔בֹ֖קֶר｜279〕〔י֥וֹם｜280〕〔שְׁלִישִֽׁי׃｜281〕
14	〔וַיֹּ֣אמֶר｜293〕〔אֱלֹהִ֗ים｜294〕〔יְהִ֤י｜295〕〔מְאֹרֹת֙｜296〕〔בִּרְקִ֣יעַ｜297〕〔הַשָּׁמַ֔יִם｜298〕〔לְהַבְדִּ֕יל｜299〕〔בֵּ֥ין｜300〕〔הַיּ֖וֹם｜301〕〔וּבֵ֣ין｜302〕〔הַלָּ֑יְלָה｜303〕〔וְהָי֤וּ｜304〕〔לְאֹתֹת֙｜305〕〔וּלְמ֣וֹעֲדִ֔ים｜306〕〔וּלְיָמִ֖ים｜307〕〔וְשָׁנִֽים׃｜308〕
15	〔וְהָי֤וּ｜319〕〔לִמְאוֹרֹת֙｜320〕〔בִּרְקִ֣יעַ｜321〕〔הַשָּׁמַ֔יִם｜322〕〔לְהָאִ֖יר｜323〕〔עַל־｜324〕〔הָאָ֑רֶץ｜325〕〔וַֽיְהִי־｜326〕〔כֵֽן׃｜327〕
16	〔וַיַּ֣עַשׂ｜338〕〔אֱלֹהִ֔ים｜339〕〔אֶת־｜340〕〔שְׁנֵ֥י｜341〕〔הַמְּאֹרֹ֖ת｜342〕〔הַגְּדֹלִ֑ים｜343〕〔אֶת־｜344〕〔הַמָּא֤וֹר｜345〕〔הַגָּדֹל֙｜346〕〔לְמֶמְשֶׁ֣לֶת｜347〕〔הַיּ֔וֹם｜348〕〔וְאֶת־｜349〕〔הַמָּא֤וֹר｜350〕〔הַקָּטֹן֙｜351〕〔לְמֶמְשֶׁ֣לֶת｜352〕〔הַלַּ֔יְלָה｜353〕〔וְאֵ֖ת｜354〕〔הַכּוֹכָבִֽים׃｜355〕
17	〔וַיִּתֵּ֥ן｜366〕〔אֹתָ֛ם｜367〕〔אֱלֹהִ֖ים｜368〕〔בִּרְקִ֣יעַ｜369〕〔הַשָּׁמָ֑יִם｜370〕〔לְהָאִ֖יר｜371〕〔עַל־｜372〕〔הָאָֽרֶץ׃｜373〕
18	〔וְלִמְשֹׁל֙｜384〕〔בַּיּ֣וֹם｜385〕〔וּבַלַּ֔יְלָה｜386〕〔וּֽלֲהַבְדִּ֔יל｜387〕〔בֵּ֥ין｜388〕〔הָא֖וֹר｜389〕〔וּבֵ֣ין｜390〕〔הַחֹ֑שֶׁךְ｜391〕〔וַיַּ֥רְא｜392〕〔אֱלֹהִ֖ים｜393〕〔כִּי־｜394〕〔טֽוֹב׃｜395〕
19	〔וַֽיְהִי־｜406〕〔עֶ֥רֶב｜407〕〔וַֽיְהִי־｜408〕〔בֹ֖קֶר｜409〕〔י֥וֹם｜410〕〔רְבִיעִֽי׃｜411〕
20	〔וַיֹּ֣אמֶר｜423〕〔אֱלֹהִ֔ים｜424〕〔יִשְׁרְצ֣וּ｜425〕〔הַמַּ֔יִם｜426〕〔שֶׁ֖רֶץ｜427〕〔נֶ֣פֶשׁ｜428〕〔חַיָּ֑ה｜429〕〔וְעוֹף֙｜430〕〔יְעוֹפֵ֣ף｜431〕〔עַל־｜432〕〔הָאָ֔רֶץ｜433〕〔עַל־｜434〕〔פְּנֵ֖י｜435〕〔רְקִ֥יעַ｜436〕〔הַשָּׁמָֽיִם׃｜437〕
