mappingSort	KJVverseID	WLCsort	BHSsort
1	1	1	2
2	1	2	3
3	1	3	4
4	1	4	5
5	1	5	7
6	1	6	9
7	1	7	11
8	2	18	14
9	2	19	15
10	2	20	16
11	2	21	18
12	2	22	20
13	2	23	21
14	2	24	22
15	2	25	23
16	2	26	25
17	2	27	26
18	2	28	27
19	2	29	28
20	2	30	29
21	2	31	31
22	3	42	33
23	3	43	34
24	3	44	35
25	3	45	36
26	3	46	38
27	3	47	39
28	4	58	41
29	4	59	42
30	4	60	43
31	4	61	45
32	4	62	46
33	4	63	47
34	4	64	49
35	4	65	50
36	4	66	51
37	4	67	53
38	4	68	55
39	4	69	57
40	5	80	59
41	5	81	60
42	5	82	63
43	5	83	64
44	5	84	68
45	5	85	69
46	5	86	70
47	5	87	72
48	5	88	73
49	5	89	75
50	5	90	76
51	5	91	77
52	5	92	78
53	6	104	80
54	6	105	81
55	6	106	82
56	6	107	83
57	6	108	85
58	6	109	87
59	6	110	89
60	6	111	90
61	6	112	91
62	6	113	92
63	6	114	94
64	7	125	96
65	7	126	97
66	7	127	98
67	7	128	100
68	7	129	102
69	7	130	103
70	7	131	105
71	7	132	106
72	7	133	108
73	7	134	111
74	7	135	113
75	7	136	115
76	7	137	116
77	7	138	118
78	7	139	121
79	7	140	123
80	7	141	124
81	8	152	126
82	8	153	127
83	8	154	130
84	8	155	131
85	8	156	133
86	8	157	134
87	8	158	136
88	8	159	137
89	8	160	138
90	8	161	139
91	9	173	141
92	9	174	142
93	9	175	143
94	9	176	145
95	9	177	147
96	9	178	149
97	9	179	150
98	9	180	151
99	9	181	152
100	9	182	154
101	9	183	156
102	9	184	158
103	9	185	159
104	10	196	161
105	10	197	162
106	10	198	165
107	10	199	166
108	10	200	169
109	10	201	171
110	10	202	172
111	10	203	173
112	10	204	175
113	10	205	176
114	10	206	177
115	10	207	178
116	11	218	180
117	11	219	181
118	11	220	182
119	11	221	184
120	11	222	185
121	11	223	186
122	11	224	187
123	11	225	188
124	11	226	189
125	11	227	190
126	11	228	191
127	11	229	192
128	11	230	194
129	11	231	195
130	11	232	196
131	11	234	198
132	11	235	200
133	11	236	202
134	11	237	203
135	12	248	205
136	12	249	207
137	12	250	208
138	12	251	209
139	12	252	210
140	12	253	211
141	12	254	213
142	12	255	215
143	12	256	216
144	12	257	217
145	12	258	218
146	12	259	219
147	12	261	222
148	12	262	224
149	12	263	225
150	12	264	226
151	12	265	227
152	13	276	229
153	13	277	230
154	13	278	232
155	13	279	233
156	13	280	234
157	13	281	235
158	14	293	237
159	14	294	238
160	14	295	239
161	14	296	240
162	14	297	242
163	14	298	244
164	14	299	246
165	14	300	247
166	14	301	249
167	14	302	251
168	14	303	253
169	14	304	255
170	14	305	257
171	14	306	260
172	14	307	263
173	14	308	265
174	15	319	267
175	15	320	269
176	15	321	271
177	15	322	273
178	15	323	275
179	15	324	276
180	15	325	278
181	15	326	280
182	15	327	281
183	16	338	283
184	16	339	284
185	16	340	285
186	16	341	286
187	16	342	288
188	16	343	290
189	16	344	291
190	16	345	293
191	16	346	295
192	16	347	297
193	16	348	299
194	16	349	301
195	16	350	303
196	16	351	305
197	16	352	307
198	16	353	309
199	16	354	311
200	16	355	313
201	17	366	315
202	17	367	316
203	17	368	317
204	17	369	319
205	17	370	321
206	17	371	323
207	17	372	324
208	17	373	326
209	18	384	329
210	18	385	332
211	18	386	336
212	18	387	339
213	18	388	340
214	18	389	342
215	18	390	344
216	18	391	346
217	18	392	348
218	18	393	349
219	18	394	350
220	18	395	351
221	19	406	353
222	19	407	354
223	19	408	356
224	19	409	357
225	19	410	358
226	19	411	359
227	20	423	361
228	20	424	362
229	20	425	363
230	20	426	365
231	20	427	366
232	20	428	367
233	20	429	368
234	20	430	370
235	20	431	371
236	20	432	372
237	20	433	374
238	20	434	375
239	20	435	376
240	20	436	377
241	20	437	379
242	21	448	381
243	21	449	382
244	21	450	383
245	21	451	385
246	21	452	387
247	21	453	389
