Verse	WLCsort	WLC	clauseID
1	1	בְּרֵאשִׁ֖ית	c1
1	2	בָּרָ֣א	c1
1	3	אֱלֹהִ֑ים	c1
1	4	אֵ֥ת	c1
1	5	הַשָּׁמַ֖יִם	c1
1	6	וְאֵ֥ת	c1
1	7	הָאָֽרֶץ׃	c1
2	18	וְהָאָ֗רֶץ	c2
2	19	הָיְתָ֥ה	c2
2	20	תֹ֙הוּ֙	c2
2	21	וָבֹ֔הוּ	c2
2	22	וְחֹ֖שֶׁךְ	c3
2	23	עַל־	c3
2	24	פְּנֵ֣י	c3
2	25	תְה֑וֹם	c3
2	26	וְר֣וּחַ	c4
2	27	אֱלֹהִ֔ים	c4
2	28	מְרַחֶ֖פֶת	c4
2	29	עַל־	c4
2	30	פְּנֵ֥י	c4
2	31	הַמָּֽיִם׃	c4
3	42	וַיֹּ֥אמֶר	c5
3	43	אֱלֹהִ֖ים	c5
3	44	יְהִ֣י	c6
3	45	א֑וֹר	c6
3	46	וַֽיְהִי־	c7
3	47	אֽוֹר׃	c7
4	58	וַיַּ֧רְא	c8
4	59	אֱלֹהִ֛ים	c8
4	60	אֶת־	c8
4	61	הָא֖וֹר	c8
4	62	כִּי־	c9
4	63	ט֑וֹב	c9
4	64	וַיַּבְדֵּ֣ל	c10
4	65	אֱלֹהִ֔ים	c10
4	66	בֵּ֥ין	c10
4	67	הָא֖וֹר	c10
4	68	וּבֵ֥ין	c10
4	69	הַחֹֽשֶׁךְ׃	c10
5	80	וַיִּקְרָ֨א	c11
5	81	אֱלֹהִ֤ים ׀	c11
5	82	לָאוֹר֙	c11
5	83	י֔וֹם	c11
5	84	וְלַחֹ֖שֶׁךְ	c12
5	85	קָ֣רָא	c12
5	86	לָ֑יְלָה	c12
5	87	וַֽיְהִי־	c13
5	88	עֶ֥רֶב	c13
5	89	וַֽיְהִי־	c14
5	90	בֹ֖קֶר	c14
5	91	י֥וֹם	c15
5	92	אֶחָֽד׃	c15
5	93	פ	
6	104	וַיֹּ֣אמֶר	c16
6	105	אֱלֹהִ֔ים	c16
6	106	יְהִ֥י	c17
6	107	רָקִ֖יעַ	c17
6	108	בְּת֣וֹךְ	c17
6	109	הַמָּ֑יִם	c17
6	110	וִיהִ֣י	c18
6	111	מַבְדִּ֔יל	c18
6	112	בֵּ֥ין	c18
6	113	מַ֖יִם	c18
6	114	לָמָֽיִם׃	c18
7	125	וַיַּ֣עַשׂ	c19
7	126	אֱלֹהִים֮	c19
7	127	אֶת־	c19
7	128	הָרָקִיעַ֒	c19
7	129	וַיַּבְדֵּ֗ל	c20
7	130	בֵּ֤ין	c20
7	131	הַמַּ֙יִם֙	c20
7	132	אֲשֶׁר֙	c21
7	133	מִתַּ֣חַת	c21
7	134	לָרָקִ֔יעַ	c21
7	135	וּבֵ֣ין	c22
7	136	הַמַּ֔יִם	c22
7	137	אֲשֶׁ֖ר	c23
7	138	מֵעַ֣ל	c23
7	139	לָרָקִ֑יעַ	c23
7	140	וַֽיְהִי־	c24
7	141	כֵֽן׃	c24
8	152	וַיִּקְרָ֧א	c25
8	153	אֱלֹהִ֛ים	c25
8	154	לָֽרָקִ֖יעַ	c25
8	155	שָׁמָ֑יִם	c25
8	156	וַֽיְהִי־	c26
8	157	עֶ֥רֶב	c26
8	158	וַֽיְהִי־	c27
8	159	בֹ֖קֶר	c27
8	160	י֥וֹם	c28
8	161	שֵׁנִֽי׃	c28
8	162	פ	
9	173	וַיֹּ֣אמֶר	c29
9	174	אֱלֹהִ֗ים	c29
9	175	יִקָּו֨וּ	c30
9	176	הַמַּ֜יִם	c30
9	177	מִתַּ֤חַת	c30
9	178	הַשָּׁמַ֙יִם֙	c30
9	179	אֶל־	c30
9	180	מָק֣וֹם	c30
9	181	אֶחָ֔ד	c30
9	182	וְתֵרָאֶ֖ה	c31
9	183	הַיַּבָּשָׁ֑ה	c31
9	184	וַֽיְהִי־	c32
9	185	כֵֽן׃	c32
10	196	וַיִּקְרָ֨א	c33
10	197	אֱלֹהִ֤ים ׀	c33
10	198	לַיַּבָּשָׁה֙	c33
10	199	אֶ֔רֶץ	c33
10	200	וּלְמִקְוֵ֥ה	c34
10	201	הַמַּ֖יִם	c34
10	202	קָרָ֣א	c34
10	203	יַמִּ֑ים	c34
10	204	וַיַּ֥רְא	c35
10	205	אֱלֹהִ֖ים	c35
10	206	כִּי־	c36
10	207	טֽוֹב׃	c36
11	218	וַיֹּ֣אמֶר	c37
11	219	אֱלֹהִ֗ים	c37
11	220	תַּֽדְשֵׁ֤א	c38
