identifier	file	bytes
1550-scrivener-1860	Ἡ καινὴ διαθήκη 1550 (Scrivener 1860)_djvu.txt	2223343
1550-stephanus-textus-receptus	1550 Stephanus Textus Receptus_djvu.txt	2003727
1550TheGreekNewTestamentStephanus	1550 The Greek New Testament Stephanus_djvu.txt	1728463
1730-the-alexandrian-greek-text-1	1730 The Alexandrian Greek Text 1_djvu.txt	3452324
1798-oxford-septuagint-edited-by-holmes-and-parsons-volume-1	1798 - Oxford Septuagint edited by Holmes and Parsons - Volume 1_djvu.txt	10809765
1818-oxford-septuagint-edited-by-holmes-and-parsons-volume-2	1818 - Oxford Septuagint edited by Holmes and Parsons - Volume 2_djvu.txt	12581916
1823-oxford-septuagint-edited-by-holmes-and-parsons-volume-3	1823 - Oxford Septuagint edited by Holmes and Parsons - Volume 3_djvu.txt	5637232
1827-oxford-septuagint-edited-by-holmes-and-parsons-volume-4-5	1827 - Oxford Septuagint edited by Holmes and Parsons - Volume 4 & 5_djvu.txt	11932875
31383040993688	31383040993688_djvu.txt	1350051
A208086	A208086_djvu.txt	3254632
aleppo-codex-tanakh-full-scan-images	Aleppo_Codex_Tanakh_full_scan_djvu.txt	1382194
ARes162051	ARes162051_djvu.txt	1914492
ARes162052	ARes162052_djvu.txt	2787727
armenian_zohrab_nt	armenian_zohrab_bible_new_testament_djvu.txt	2203839
bensirascrollfro0000yadi	bensirascrollfro0000yadi_djvu.txt	437190
bezaecodexcanta00cambgoog	bezaecodexcanta00cambgoog_djvu.txt	1708279
Biblia_Hebraica_Van_der_Hooght_Amsterdam_1705_Volumes_AB_Torah_and_Former_Prophets	Biblia Hebraica Van der Hooght Amsterdam 1705 Volumes A-B Torah and Former Prophets_djvu.txt	1975621
biblia-sacra-hebraice-chaldaice-graece-latine-benedicti-ariae-montani-sacrorum-bibliorum-tomus-1569	Biblia Sacra Hebraice, Chaldaice, Graece et Latine [cura et studio Benedicti Ariæ Montani] Sacrorum Bibliorum 01 Tomums Primus, Qvinqve Libri Moysi 1569_djvu.txt	3920744
biblia-sacra-hebraice-chaldaice-graece-latine-benedicti-ariae-montani-sacrorum-bibliorum-tomus-1569	Biblia Sacra Hebraice, Chaldaice, Graece et Latine [cura et studio Benedicti Ariæ Montani] Sacrorum Bibliorum 02 Tomus Secundus, Prophetae Priores 1569_djvu.txt	3884693
biblia-sacra-hebraice-chaldaice-graece-latine-benedicti-ariae-montani-sacrorum-bibliorum-tomus-1569	Biblia Sacra Hebraice, Chaldaice, Graece et Latine [cura et studio Benedicti Ariæ Montani] Sacrorum Bibliorum 03 Tomus Tertius, Sancti Libri 1569_djvu.txt	3633410
biblia-sacra-hebraice-chaldaice-graece-latine-benedicti-ariae-montani-sacrorum-bibliorum-tomus-1569	Biblia Sacra Hebraice, Chaldaice, Graece et Latine [cura et studio Benedicti Ariæ Montani] Sacrorum Bibliorum 04 Tomus Quartus, Prophetae Posteriores 1570_djvu.txt	4370955
