ἅ	<p><font color='gray'>ha</font> | <font color='gray'>a</font><br><blu><b>ὅς, ἥ</b></blu> | <red>which</red> | <num>G3739</num><br><b>R-APN</b> | <morphD>Relative pronoun, Accusative, Plural, Neuter</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G4005<br><i>BDAG:</i> ὅς<br><i>EDNT:</i> ὅς<br><i>Louw-Nida:</i> 92.27</p><hr><p><font color='gray'>ha</font> | <font color='gray'>a</font><br><blu><b>ὅς, ἥ</b></blu> | <red>which</red> | <num>G3739</num><br><b>R-NPN</b> | <morphD>Relative pronoun, Nominative, Plural, Neuter</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G4005<br><i>BDAG:</i> ὅς<br><i>EDNT:</i> ὅς<br><i>Louw-Nida:</i> 92.27</p>
ἃ	<p><font color='gray'>ha</font> | <font color='gray'>a</font><br><blu><b>ὅς, ἥ</b></blu> | <red>which</red> | <num>G3739</num><br><b>R-APN</b> | <morphD>Relative pronoun, Accusative, Plural, Neuter</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G4005<br><i>BDAG:</i> ὅς<br><i>EDNT:</i> ὅς<br><i>Louw-Nida:</i> 88.95，92.27</p><hr><p><font color='gray'>ha</font> | <font color='gray'>a</font><br><blu><b>ὅς, ἥ</b></blu> | <red>which</red> | <num>G3739</num><br><b>R-NPN</b> | <morphD>Relative pronoun, Nominative, Plural, Neuter</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G4005<br><i>BDAG:</i> ὅς<br><i>EDNT:</i> ὅς<br><i>Louw-Nida:</i> 92.27</p>
Ἃ	<p><font color='gray'>ha</font> | <font color='gray'>a</font><br><blu><b>ὅς, ἥ</b></blu> | <red>which</red> | <num>G3739</num><br><b>R-APN</b> | <morphD>Relative pronoun, Accusative, Plural, Neuter</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G4005<br><i>BDAG:</i> ὅς<br><i>EDNT:</i> ὅς<br><i>Louw-Nida:</i> 92.27</p>
Ἀαρών	<p><font color='gray'>aarōn</font> | <font color='gray'>aaron</font><br><blu><b>Ἀαρών</b></blu> | <red>Aaron</red> | <num>G2</num><br><b>N-DSM-P</b> | <morphD>Noun, Dative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G2<br><i>BDAG:</i> Ἀαρών<br><i>EDNT:</i> Ἀαρών<br><i>Louw-Nida:</i> 93.1</p><hr><p><font color='gray'>aarōn</font> | <font color='gray'>aaron</font><br><blu><b>Ἀαρών</b></blu> | <red>Aaron</red> | <num>G2</num><br><b>N-GSM-P</b> | <morphD>Noun, Genitive, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G2<br><i>BDAG:</i> Ἀαρών<br><i>EDNT:</i> Ἀαρών<br><i>Louw-Nida:</i> 93.1</p><hr><p><font color='gray'>aarōn</font> | <font color='gray'>aaron</font><br><blu><b>Ἀαρών</b></blu> | <red>Aaron</red> | <num>G2</num><br><b>N-NSM-P</b> | <morphD>Noun, Nominative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G2<br><i>BDAG:</i> Ἀαρών<br><i>EDNT:</i> Ἀαρών<br><i>Louw-Nida:</i> 93.1</p>
Ἀαρὼν	<p><font color='gray'>aarōn</font> | <font color='gray'>aaron</font><br><blu><b>Ἀαρών</b></blu> | <red>Aaron</red> | <num>G2</num><br><b>N-GSM-P</b> | <morphD>Noun, Genitive, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G2<br><i>BDAG:</i> Ἀαρών<br><i>EDNT:</i> Ἀαρών<br><i>Louw-Nida:</i> 93.1</p>
Ἀβαδδών	<p><font color='gray'>abaddōn</font> | <font color='gray'>avaððon</font><br><blu><b>Ἀβαδδών</b></blu> | <red>Abaddon</red> | <num>G3</num><br><b>N-NSM-T</b> | <morphD>Noun, Nominative, Singular, Masculine, Title</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G3<br><i>BDAG:</i> Ἀβαδδών<br><i>EDNT:</i> Ἀβαδδών<br><i>Louw-Nida:</i> 93.2</p>
ἀβαρῆ	<p><font color='gray'>abarē</font> | <font color='gray'>avariy</font><br><blu><b>ἀβαρής</b></blu> | <red>not burdensome</red> | <num>G4</num><br><b>A-ASM</b> | <morphD>Adjective, Accusative, Singular, Masculine</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G4<br><i>BDAG:</i> ἀβαρής<br><i>EDNT:</i> ἀβαρής<br><i>Louw-Nida:</i> 57.225</p>
Αββα	<p><font color='gray'>abba</font> | <font color='gray'>avva</font><br><blu><b>ἀββά</b></blu> | <red>Father</red> | <num>G5</num><br><b>N-VSM</b> | <morphD>Noun, Vocative, Singular, Masculine</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G5<br><i>BDAG:</i> ἀββα<br><i>EDNT:</i> ἀββά<br><i>Louw-Nida:</i> 12.12</p>
Ἅβελ	<p><font color='gray'>habel</font> | <font color='gray'>avel</font><br><blu><b>Ἄβελ</b></blu> | <red>Abel</red> | <num>G6</num><br><b>N-ASM-P</b> | <morphD>Noun, Accusative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G6<br><i>BDAG:</i> Ἅβελ<br><i>EDNT:</i> Ἅβελ<br><i>Louw-Nida:</i> 93.3</p><hr><p><font color='gray'>habel</font> | <font color='gray'>avel</font><br><blu><b>Ἄβελ</b></blu> | <red>Abel</red> | <num>G6</num><br><b>N-GSM-P</b> | <morphD>Noun, Genitive, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G6<br><i>BDAG:</i> Ἅβελ<br><i>EDNT:</i> Ἅβελ<br><i>Louw-Nida:</i> 93.3</p><hr><p><font color='gray'>habel</font> | <font color='gray'>avel</font><br><blu><b>Ἄβελ</b></blu> | <red>Abel</red> | <num>G6</num><br><b>N-NSM-P</b> | <morphD>Noun, Nominative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G6<br><i>BDAG:</i> Ἅβελ<br><i>EDNT:</i> Ἅβελ<br><i>Louw-Nida:</i> 93.3</p>
Ἀβιά	<p><font color='gray'>abia</font> | <font color='gray'>aviya</font><br><blu><b>Ἀβιά</b></blu> | <red>Abijah</red> | <num>G7</num><br><b>N-ASM-P</b> | <morphD>Noun, Accusative, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G7<br><i>BDAG:</i> Ἀβιά<br><i>EDNT:</i> Ἀβιά<br><i>Louw-Nida:</i> 93.4</p><hr><p><font color='gray'>abia</font> | <font color='gray'>aviya</font><br><blu><b>Ἀβιά</b></blu> | <red>Abijah</red> | <num>G7</num><br><b>N-GSM-P</b> | <morphD>Noun, Genitive, Singular, Masculine, Person</morphD><br><br><u>Other lexicons:</u><br><i>Goodrick-Kohlenberger:</i> GK-G7<br><i>BDAG:</i> Ἀβιά<br><i>EDNT:</i> Ἀβιά<br><i>Louw-Nida:</i> 93.4</p>
