G976	N-NSF	｛40.1.1｜40.1.1｝
G1078	N-GSF	｛40.1.1｜40.1.1｝
G2424	N-GSM-P	｛40.1.1｜40.1.1｝
G5547	N-GSM-T	｛40.1.1｜40.1.1｝
G5207	N-GSM	｛40.1.1｜40.1.1｝
G1138	N-GSM-P	｛40.1.1｜40.1.1｝
G5207	N-GSM	｛40.1.1｜40.1.1｝
G11	N-GSM-P	｛40.1.1｜40.1.1｝
G11	N-NSM-P	｛40.1.2｜40.1.2｝
G1080	V-AAI-3S	｛40.1.2｜40.1.2｝
G3588	T-ASM	｛40.1.2｜40.1.2｝
G2464	N-ASM-P	｛40.1.2｜40.1.2｝
G2464	N-NSM-P	｛40.1.2｜40.1.2｝
G1161	CONJ	｛40.1.2｜40.1.2｝
G1080	V-AAI-3S	｛40.1.2｜40.1.2｝
G3588	T-ASM	｛40.1.2｜40.1.2｝
G2384	N-ASM-P	｛40.1.2｜40.1.2｝
G2384	N-NSM-P	｛40.1.2｜40.1.2｝
G1161	CONJ	｛40.1.2｜40.1.2｝
G1080	V-AAI-3S	｛40.1.2｜40.1.2｝
G3588	T-ASM	｛40.1.2｜40.1.2｝
G2455	N-ASM-P	｛40.1.2｜40.1.2｝
G2532	CONJ	｛40.1.2｜40.1.2｝
G3588	T-APM	｛40.1.2｜40.1.2｝
G80	N-APM	｛40.1.2｜40.1.2｝
G846	P-GSM	｛40.1.2｜40.1.2｝
G2455	N-NSM-P	｛40.1.3｜40.1.3｝
G1161	CONJ	｛40.1.3｜40.1.3｝
G1080	V-AAI-3S	｛40.1.3｜40.1.3｝
G3588	T-ASM	｛40.1.3｜40.1.3｝
G5329	N-ASM-P	｛40.1.3｜40.1.3｝
G2532	CONJ	｛40.1.3｜40.1.3｝
G3588	T-ASM	｛40.1.3｜40.1.3｝
G2196	N-ASM-P	｛40.1.3｜40.1.3｝
G1537	PREP	｛40.1.3｜40.1.3｝
G3588	T-GSF	｛40.1.3｜40.1.3｝
G2283	N-GSF-P	｛40.1.3｜40.1.3｝
G5329	N-NSM-P	｛40.1.3｜40.1.3｝
G1161	CONJ	｛40.1.3｜40.1.3｝
