OGNTsort	lexicalEntry	morphology	book	KJVversification	OGNTversification
000001	G976	N-NSF	40	40.1.1	40.1.1
000002	G1078	N-GSF	40	40.1.1	40.1.1
000003	G2424	N-GSM-P	40	40.1.1	40.1.1
000004	G5547	N-GSM-T	40	40.1.1	40.1.1
000005	G5207	N-GSM	40	40.1.1	40.1.1
000006	G1138	N-GSM-P	40	40.1.1	40.1.1
000007	G5207	N-GSM	40	40.1.1	40.1.1
000008	G11	N-GSM-P	40	40.1.1	40.1.1
000009	G11	N-NSM-P	40	40.1.2	40.1.2
000010	G1080	V-AAI-3S	40	40.1.2	40.1.2
000011	G3588	T-ASM	40	40.1.2	40.1.2
000012	G2464	N-ASM-P	40	40.1.2	40.1.2
000013	G2464	N-NSM-P	40	40.1.2	40.1.2
000014	G1161	CONJ	40	40.1.2	40.1.2
000015	G1080	V-AAI-3S	40	40.1.2	40.1.2
000016	G3588	T-ASM	40	40.1.2	40.1.2
000017	G2384	N-ASM-P	40	40.1.2	40.1.2
000018	G2384	N-NSM-P	40	40.1.2	40.1.2
000019	G1161	CONJ	40	40.1.2	40.1.2
000020	G1080	V-AAI-3S	40	40.1.2	40.1.2
000021	G3588	T-ASM	40	40.1.2	40.1.2
000022	G2455	N-ASM-P	40	40.1.2	40.1.2
000023	G2532	CONJ	40	40.1.2	40.1.2
000024	G3588	T-APM	40	40.1.2	40.1.2
000025	G80	N-APM	40	40.1.2	40.1.2
000026	G846	P-GSM	40	40.1.2	40.1.2
000027	G2455	N-NSM-P	40	40.1.3	40.1.3
000028	G1161	CONJ	40	40.1.3	40.1.3
000029	G1080	V-AAI-3S	40	40.1.3	40.1.3
000030	G3588	T-ASM	40	40.1.3	40.1.3
000031	G5329	N-ASM-P	40	40.1.3	40.1.3
000032	G2532	CONJ	40	40.1.3	40.1.3
000033	G3588	T-ASM	40	40.1.3	40.1.3
000034	G2196	N-ASM-P	40	40.1.3	40.1.3
000035	G1537	PREP	40	40.1.3	40.1.3
000036	G3588	T-GSF	40	40.1.3	40.1.3
000037	G2283	N-GSF-P	40	40.1.3	40.1.3
000038	G5329	N-NSM-P	40	40.1.3	40.1.3
000039	G1161	CONJ	40	40.1.3	40.1.3
000040	G1080	V-AAI-3S	40	40.1.3	40.1.3
000041	G3588	T-ASM	40	40.1.3	40.1.3
000042	G2074	N-ASM-P	40	40.1.3	40.1.3
000043	G2074	N-NSM-P	40	40.1.3	40.1.3
000044	G1161	CONJ	40	40.1.3	40.1.3
000045	G1080	V-AAI-3S	40	40.1.3	40.1.3
000046	G3588	T-ASM	40	40.1.3	40.1.3
000047	G689	N-ASM-P	40	40.1.3	40.1.3
000048	G689	N-NSM-P	40	40.1.4	40.1.4
000049	G1161	CONJ	40	40.1.4	40.1.4
000050	G1080	V-AAI-3S	40	40.1.4	40.1.4
000051	G3588	T-ASM	40	40.1.4	40.1.4
000052	G284	N-ASM-P	40	40.1.4	40.1.4
000053	G284	N-NSM-P	40	40.1.4	40.1.4
000054	G1161	CONJ	40	40.1.4	40.1.4
000055	G1080	V-AAI-3S	40	40.1.4	40.1.4
000056	G3588	T-ASM	40	40.1.4	40.1.4
000057	G3476	N-ASM-P	40	40.1.4	40.1.4
000058	G3476	N-NSM-P	40	40.1.4	40.1.4
000059	G1161	CONJ	40	40.1.4	40.1.4
000060	G1080	V-AAI-3S	40	40.1.4	40.1.4
000061	G3588	T-ASM	40	40.1.4	40.1.4
000062	G4533	N-ASM-P	40	40.1.4	40.1.4
000063	G4533	N-NSM-P	40	40.1.5	40.1.5
000064	G1161	CONJ	40	40.1.5	40.1.5
000065	G1080	V-AAI-3S	40	40.1.5	40.1.5
000066	G3588	T-ASM	40	40.1.5	40.1.5
000067	G1003	N-ASM-P	40	40.1.5	40.1.5
000068	G1537	PREP	40	40.1.5	40.1.5
000069	G3588	T-GSF	40	40.1.5	40.1.5
000070	G4477	N-GSF-P	40	40.1.5	40.1.5
000071	G1003	N-NSM-P	40	40.1.5	40.1.5
000072	G1161	CONJ	40	40.1.5	40.1.5
000073	G1080	V-AAI-3S	40	40.1.5	40.1.5
000074	G3588	T-ASM	40	40.1.5	40.1.5
000075	G5601	N-ASM-P	40	40.1.5	40.1.5
000076	G1537	PREP	40	40.1.5	40.1.5
000077	G3588	T-GSF	40	40.1.5	40.1.5
000078	G4503	N-GSF-P	40	40.1.5	40.1.5
000079	G5601	N-NSM-P	40	40.1.5	40.1.5
000080	G1161	CONJ	40	40.1.5	40.1.5
000081	G1080	V-AAI-3S	40	40.1.5	40.1.5
000082	G3588	T-ASM	40	40.1.5	40.1.5
000083	G2421	N-ASM-P	40	40.1.5	40.1.5
000084	G2421	N-NSM-P	40	40.1.6	40.1.6
000085	G1161	CONJ	40	40.1.6	40.1.6
000086	G1080	V-AAI-3S	40	40.1.6	40.1.6
000087	G3588	T-ASM	40	40.1.6	40.1.6
000088	G1138	N-ASM-P	40	40.1.6	40.1.6
000089	G3588	T-ASM	40	40.1.6	40.1.6
000090	G935	N-ASM	40	40.1.6	40.1.6
000091	G1138	N-NSM-P	40	40.1.6	40.1.6
000092	G1161	CONJ	40	40.1.6	40.1.6
000093	G1080	V-AAI-3S	40	40.1.6	40.1.6
000094	G3588	T-ASM	40	40.1.6	40.1.6
000095	G4672	N-ASM-P	40	40.1.6	40.1.6
000096	G1537	PREP	40	40.1.6	40.1.6
000097	G3588	T-GSF	40	40.1.6	40.1.6
000098	G3588	T-GSM	40	40.1.6	40.1.6
000099	G3774	N-GSM-P	40	40.1.6	40.1.6
000100	G4672	N-NSM-P	40	40.1.7	40.1.7
000101	G1161	CONJ	40	40.1.7	40.1.7
000102	G1080	V-AAI-3S	40	40.1.7	40.1.7
000103	G3588	T-ASM	40	40.1.7	40.1.7
000104	G4497	N-ASM-P	40	40.1.7	40.1.7
000105	G4497	N-NSM-P	40	40.1.7	40.1.7
000106	G1161	CONJ	40	40.1.7	40.1.7
000107	G1080	V-AAI-3S	40	40.1.7	40.1.7
000108	G3588	T-ASM	40	40.1.7	40.1.7
000109	G7	N-ASM-P	40	40.1.7	40.1.7
000110	G7	N-NSM-P	40	40.1.7	40.1.7
000111	G1161	CONJ	40	40.1.7	40.1.7
000112	G1080	V-AAI-3S	40	40.1.7	40.1.7
000113	G3588	T-ASM	40	40.1.7	40.1.7
000114	G760	N-ASM-P	40	40.1.7	40.1.7
000115	G760	N-NSM-P	40	40.1.8	40.1.8
000116	G1161	CONJ	40	40.1.8	40.1.8
000117	G1080	V-AAI-3S	40	40.1.8	40.1.8
000118	G3588	T-ASM	40	40.1.8	40.1.8
000119	G2498	N-ASM-P	40	40.1.8	40.1.8
000120	G2498	N-NSM-P	40	40.1.8	40.1.8
000121	G1161	CONJ	40	40.1.8	40.1.8
000122	G1080	V-AAI-3S	40	40.1.8	40.1.8
000123	G3588	T-ASM	40	40.1.8	40.1.8
000124	G2496	N-ASM-P	40	40.1.8	40.1.8
000125	G2496	N-NSM-P	40	40.1.8	40.1.8
000126	G1161	CONJ	40	40.1.8	40.1.8
000127	G1080	V-AAI-3S	40	40.1.8	40.1.8
000128	G3588	T-ASM	40	40.1.8	40.1.8
000129	G3604	N-ASM-P	40	40.1.8	40.1.8
000130	G3604	N-NSM-P	40	40.1.9	40.1.9
000131	G1161	CONJ	40	40.1.9	40.1.9
000132	G1080	V-AAI-3S	40	40.1.9	40.1.9
000133	G3588	T-ASM	40	40.1.9	40.1.9
000134	G2488	N-ASM-P	40	40.1.9	40.1.9
000135	G2488	N-NSM-P	40	40.1.9	40.1.9
000136	G1161	CONJ	40	40.1.9	40.1.9
000137	G1080	V-AAI-3S	40	40.1.9	40.1.9
000138	G3588	T-ASM	40	40.1.9	40.1.9
000139	G881	N-ASM-P	40	40.1.9	40.1.9
000140	G881	N-NSM-P	40	40.1.9	40.1.9
000141	G1161	CONJ	40	40.1.9	40.1.9
000142	G1080	V-AAI-3S	40	40.1.9	40.1.9
000143	G3588	T-ASM	40	40.1.9	40.1.9
000144	G1478	N-ASM-P	40	40.1.9	40.1.9
000145	G1478	N-NSM-P	40	40.1.10	40.1.10
000146	G1161	CONJ	40	40.1.10	40.1.10
000147	G1080	V-AAI-3S	40	40.1.10	40.1.10
000148	G3588	T-ASM	40	40.1.10	40.1.10
000149	G3128	N-ASM-P	40	40.1.10	40.1.10
000150	G3128	N-NSM-P	40	40.1.10	40.1.10
000151	G1161	CONJ	40	40.1.10	40.1.10
000152	G1080	V-AAI-3S	40	40.1.10	40.1.10
000153	G3588	T-ASM	40	40.1.10	40.1.10
000154	G301	N-ASM-P	40	40.1.10	40.1.10
000155	G301	N-NSM-P	40	40.1.10	40.1.10
000156	G1161	CONJ	40	40.1.10	40.1.10
000157	G1080	V-AAI-3S	40	40.1.10	40.1.10
000158	G3588	T-ASM	40	40.1.10	40.1.10
000159	G2502	N-ASM-P	40	40.1.10	40.1.10
000160	G2502	N-NSM-P	40	40.1.11	40.1.11
000161	G1161	CONJ	40	40.1.11	40.1.11
000162	G1080	V-AAI-3S	40	40.1.11	40.1.11
000163	G3588	T-ASM	40	40.1.11	40.1.11
000164	G2423	N-ASM-P	40	40.1.11	40.1.11
000165	G2532	CONJ	40	40.1.11	40.1.11
000166	G3588	T-APM	40	40.1.11	40.1.11
000167	G80	N-APM	40	40.1.11	40.1.11
000168	G846	P-GSM	40	40.1.11	40.1.11
000169	G1909	PREP	40	40.1.11	40.1.11
000170	G3588	T-GSF	40	40.1.11	40.1.11
000171	G3350	N-GSF	40	40.1.11	40.1.11
000172	G897	N-GSF-L	40	40.1.11	40.1.11
000173	G3326	PREP	40	40.1.12	40.1.12
000174	G1161	CONJ	40	40.1.12	40.1.12
000175	G3588	T-ASF	40	40.1.12	40.1.12
000176	G3350	N-ASF	40	40.1.12	40.1.12
000177	G897	N-GSF-L	40	40.1.12	40.1.12
000178	G2423	N-NSM-P	40	40.1.12	40.1.12
000179	G1080	V-AAI-3S	40	40.1.12	40.1.12
000180	G3588	T-ASM	40	40.1.12	40.1.12
000181	G4528	N-ASM-P	40	40.1.12	40.1.12
000182	G4528	N-NSM-P	40	40.1.12	40.1.12
000183	G1161	CONJ	40	40.1.12	40.1.12
000184	G1080	V-AAI-3S	40	40.1.12	40.1.12
000185	G3588	T-ASM	40	40.1.12	40.1.12
000186	G2216	N-ASM-P	40	40.1.12	40.1.12
000187	G2216	N-NSM-P	40	40.1.13	40.1.13
000188	G1161	CONJ	40	40.1.13	40.1.13
000189	G1080	V-AAI-3S	40	40.1.13	40.1.13
000190	G3588	T-ASM	40	40.1.13	40.1.13
000191	G10	N-ASM-P	40	40.1.13	40.1.13
000192	G10	N-NSM-P	40	40.1.13	40.1.13
000193	G1161	CONJ	40	40.1.13	40.1.13
000194	G1080	V-AAI-3S	40	40.1.13	40.1.13
000195	G3588	T-ASM	40	40.1.13	40.1.13
000196	G1662	N-ASM-P	40	40.1.13	40.1.13
000197	G1662	N-NSM-P	40	40.1.13	40.1.13
000198	G1161	CONJ	40	40.1.13	40.1.13
000199	G1080	V-AAI-3S	40	40.1.13	40.1.13
000200	G3588	T-ASM	40	40.1.13	40.1.13
000201	G107	N-ASM-P	40	40.1.13	40.1.13
000202	G107	N-NSM-P	40	40.1.14	40.1.14
000203	G1161	CONJ	40	40.1.14	40.1.14
000204	G1080	V-AAI-3S	40	40.1.14	40.1.14
000205	G3588	T-ASM	40	40.1.14	40.1.14
000206	G4524	N-ASM-P	40	40.1.14	40.1.14
000207	G4524	N-NSM-P	40	40.1.14	40.1.14
000208	G1161	CONJ	40	40.1.14	40.1.14
000209	G1080	V-AAI-3S	40	40.1.14	40.1.14
000210	G3588	T-ASM	40	40.1.14	40.1.14
000211	G885	N-ASM-P	40	40.1.14	40.1.14
000212	G885	N-NSM-P	40	40.1.14	40.1.14
000213	G1161	CONJ	40	40.1.14	40.1.14
000214	G1080	V-AAI-3S	40	40.1.14	40.1.14
000215	G3588	T-ASM	40	40.1.14	40.1.14
000216	G1664	N-ASM-P	40	40.1.14	40.1.14
000217	G1664	N-NSM-P	40	40.1.15	40.1.15
000218	G1161	CONJ	40	40.1.15	40.1.15
000219	G1080	V-AAI-3S	40	40.1.15	40.1.15
000220	G3588	T-ASM	40	40.1.15	40.1.15
000221	G1648	N-ASM-P	40	40.1.15	40.1.15
000222	G1648	N-NSM-P	40	40.1.15	40.1.15
000223	G1161	CONJ	40	40.1.15	40.1.15
000224	G1080	V-AAI-3S	40	40.1.15	40.1.15
000225	G3588	T-ASM	40	40.1.15	40.1.15
000226	G3157	N-ASM-P	40	40.1.15	40.1.15
000227	G3157	N-NSM-P	40	40.1.15	40.1.15
000228	G1161	CONJ	40	40.1.15	40.1.15
000229	G1080	V-AAI-3S	40	40.1.15	40.1.15
000230	G3588	T-ASM	40	40.1.15	40.1.15
000231	G2384	N-ASM-P	40	40.1.15	40.1.15
000232	G2384	N-NSM-P	40	40.1.16	40.1.16
000233	G1161	CONJ	40	40.1.16	40.1.16
000234	G1080	V-AAI-3S	40	40.1.16	40.1.16
000235	G3588	T-ASM	40	40.1.16	40.1.16
000236	G2501	N-ASM-P	40	40.1.16	40.1.16
000237	G3588	T-ASM	40	40.1.16	40.1.16
000238	G435	N-ASM	40	40.1.16	40.1.16
000239	G3137	N-GSF-P	40	40.1.16	40.1.16
000240	G1537	PREP	40	40.1.16	40.1.16
000241	G3739	R-GSF	40	40.1.16	40.1.16
000242	G1080	V-API-3S	40	40.1.16	40.1.16
000243	G2424	N-NSM-P	40	40.1.16	40.1.16
000244	G3588	T-NSM	40	40.1.16	40.1.16
000245	G3004	V-PPP-NSM	40	40.1.16	40.1.16
000246	G5547	N-NSM-T	40	40.1.16	40.1.16
000247	G3956	A-NPF	40	40.1.17	40.1.17
000248	G3767	CONJ	40	40.1.17	40.1.17
000249	G3588	T-NPF	40	40.1.17	40.1.17
000250	G1074	N-NPF	40	40.1.17	40.1.17
000251	G575	PREP	40	40.1.17	40.1.17
000252	G11	N-GSM-P	40	40.1.17	40.1.17
000253	G2193	PREP	40	40.1.17	40.1.17
000254	G1138	N-GSM-P	40	40.1.17	40.1.17
000255	G1074	N-NPF	40	40.1.17	40.1.17
000256	G1180	A-NPF	40	40.1.17	40.1.17
000257	G2532	CONJ	40	40.1.17	40.1.17
000258	G575	PREP	40	40.1.17	40.1.17
000259	G1138	N-GSM-P	40	40.1.17	40.1.17
000260	G2193	PREP	40	40.1.17	40.1.17
000261	G3588	T-GSF	40	40.1.17	40.1.17
000262	G3350	N-GSF	40	40.1.17	40.1.17
000263	G897	N-GSF-L	40	40.1.17	40.1.17
000264	G1074	N-NPF	40	40.1.17	40.1.17
000265	G1180	A-NPF	40	40.1.17	40.1.17
000266	G2532	CONJ	40	40.1.17	40.1.17
000267	G575	PREP	40	40.1.17	40.1.17
000268	G3588	T-GSF	40	40.1.17	40.1.17
000269	G3350	N-GSF	40	40.1.17	40.1.17
000270	G897	N-GSF-L	40	40.1.17	40.1.17
000271	G2193	PREP	40	40.1.17	40.1.17
000272	G3588	T-GSM	40	40.1.17	40.1.17
000273	G5547	N-GSM-T	40	40.1.17	40.1.17
000274	G1074	N-NPF	40	40.1.17	40.1.17
000275	G1180	A-NPF	40	40.1.17	40.1.17
000276	G3588	T-GSM	40	40.1.18	40.1.18
000277	G1161	CONJ	40	40.1.18	40.1.18
000278	G2424	N-GSM-P	40	40.1.18	40.1.18
000279	G5547	N-GSM-T	40	40.1.18	40.1.18
000280	G3588	T-NSF	40	40.1.18	40.1.18
000281	G1078	N-NSF	40	40.1.18	40.1.18
000282	G3779	ADV	40	40.1.18	40.1.18
000283	G1510	V-IAI-3S	40	40.1.18	40.1.18
000284	G3423	V-APP-GSF	40	40.1.18	40.1.18
000285	G3588	T-GSF	40	40.1.18	40.1.18
000286	G3384	N-GSF	40	40.1.18	40.1.18
000287	G846	P-GSM	40	40.1.18	40.1.18
000288	G3137	N-GSF-P	40	40.1.18	40.1.18
000289	G3588	T-DSM	40	40.1.18	40.1.18
000290	G2501	N-DSM-P	40	40.1.18	40.1.18
000291	G4250	ADV	40	40.1.18	40.1.18
000292	G2228	CONJ	40	40.1.18	40.1.18
000293	G4905	V-2AAN	40	40.1.18	40.1.18
000294	G846	P-APM	40	40.1.18	40.1.18
000295	G2147	V-API-3S	40	40.1.18	40.1.18
000296	G1722	PREP	40	40.1.18	40.1.18
000297	G1064	N-DSF	40	40.1.18	40.1.18
000298	G2192	V-PAP-NSF	40	40.1.18	40.1.18
000299	G1537	PREP	40	40.1.18	40.1.18
000300	G4151	N-GSN	40	40.1.18	40.1.18
000301	G40	A-GSN	40	40.1.18	40.1.18
000302	G2501	N-NSM-P	40	40.1.19	40.1.19
000303	G1161	CONJ	40	40.1.19	40.1.19
000304	G3588	T-NSM	40	40.1.19	40.1.19
000305	G435	N-NSM	40	40.1.19	40.1.19
000306	G846	P-GSF	40	40.1.19	40.1.19
000307	G1342	A-NSM	40	40.1.19	40.1.19
000308	G1510	V-PAP-NSM	40	40.1.19	40.1.19
000309	G2532	CONJ	40	40.1.19	40.1.19
000310	G3361	PRT-N	40	40.1.19	40.1.19
000311	G2309	V-PAP-NSM	40	40.1.19	40.1.19
000312	G846	P-ASF	40	40.1.19	40.1.19
000313	G1165	V-AAN	40	40.1.19	40.1.19
000314	G1014	V-AOI-3S	40	40.1.19	40.1.19
000315	G2977	ADV	40	40.1.19	40.1.19
000316	G630	V-AAN	40	40.1.19	40.1.19
000317	G846	P-ASF	40	40.1.19	40.1.19
000318	G3778	D-APN	40	40.1.20	40.1.20
000319	G1161	CONJ	40	40.1.20	40.1.20
000320	G846	P-GSM	40	40.1.20	40.1.20
000321	G1760	V-AOP-GSM	40	40.1.20	40.1.20
000322	G2400	INJ	40	40.1.20	40.1.20
000323	G32	N-NSM	40	40.1.20	40.1.20
000324	G2962	N-GSM	40	40.1.20	40.1.20
000325	G2596	PREP	40	40.1.20	40.1.20
000326	G3677	N-ASN	40	40.1.20	40.1.20
000327	G5316	V-2API-3S	40	40.1.20	40.1.20
000328	G846	P-DSM	40	40.1.20	40.1.20
000329	G3004	V-PAP-NSM	40	40.1.20	40.1.20
000330	G2501	N-VSM-P	40	40.1.20	40.1.20
000331	G5207	N-NSM	40	40.1.20	40.1.20
000332	G1138	N-GSM-P	40	40.1.20	40.1.20
000333	G3361	PRT-N	40	40.1.20	40.1.20
000334	G5399	V-AOS-2S	40	40.1.20	40.1.20
000335	G3880	V-2AAN	40	40.1.20	40.1.20
000336	G3137	N-ASF-P	40	40.1.20	40.1.20
000337	G3588	T-ASF	40	40.1.20	40.1.20
000338	G1135	N-ASF	40	40.1.20	40.1.20
000339	G4771	P-2GS	40	40.1.20	40.1.20
000340	G3588	T-NSN	40	40.1.20	40.1.20
000341	G1063	CONJ	40	40.1.20	40.1.20
000342	G1722	PREP	40	40.1.20	40.1.20
000343	G846	P-DSF	40	40.1.20	40.1.20
000344	G1080	V-APP-NSN	40	40.1.20	40.1.20
000345	G1537	PREP	40	40.1.20	40.1.20
000346	G4151	N-GSN	40	40.1.20	40.1.20
