OGNTsort	extendedStrNo	RMAC	description
000001	G976	N-NSF	『N-NSF』
000002	G1078	N-GSF	『N-GSF』
000003	G2424	N-GSM-P	『N-GSM-P』
000004	G5547	N-GSM-T	『N-GSM-T』
000005	G5207	N-GSM	『N-GSM』
000006	G1138	N-GSM-P	『N-GSM-P』
000007	G5207	N-GSM	『N-GSM』
000008	G11	N-GSM-P	『N-GSM-P』
000009	G11	N-NSM-P	『N-NSM-P』
000010	G1080	V-AAI-3S	『V-AAI-3S』
000011	G3588	T-ASM	『T-ASM』
000012	G2464	N-ASM-P	『N-ASM-P』
000013	G2464	N-NSM-P	『N-NSM-P』
000014	G1161	CONJ	『CONJ』
000015	G1080	V-AAI-3S	『V-AAI-3S』
000016	G3588	T-ASM	『T-ASM』
000017	G2384	N-ASM-P	『N-ASM-P』
000018	G2384	N-NSM-P	『N-NSM-P』
000019	G1161	CONJ	『CONJ』
000020	G1080	V-AAI-3S	『V-AAI-3S』
000021	G3588	T-ASM	『T-ASM』
000022	G2455	N-ASM-P	『N-ASM-P』
000023	G2532	CONJ	『CONJ』
000024	G3588	T-APM	『T-APM』
000025	G80	N-APM	『N-APM』
000026	G846	P-GSM	『P-GSM』
000027	G2455	N-NSM-P	『N-NSM-P』
000028	G1161	CONJ	『CONJ』
000029	G1080	V-AAI-3S	『V-AAI-3S』
000030	G3588	T-ASM	『T-ASM』
000031	G5329	N-ASM-P	『N-ASM-P』
000032	G2532	CONJ	『CONJ』
000033	G3588	T-ASM	『T-ASM』
000034	G2196	N-ASM-P	『N-ASM-P』
000035	G1537	PREP	『PREP』
000036	G3588	T-GSF	『T-GSF』
000037	G2283	N-GSF-P	『N-GSF-P』
000038	G5329	N-NSM-P	『N-NSM-P』
000039	G1161	CONJ	『CONJ』
000040	G1080	V-AAI-3S	『V-AAI-3S』
000041	G3588	T-ASM	『T-ASM』
000042	G2074	N-ASM-P	『N-ASM-P』
000043	G2074	N-NSM-P	『N-NSM-P』
000044	G1161	CONJ	『CONJ』
000045	G1080	V-AAI-3S	『V-AAI-3S』
000046	G3588	T-ASM	『T-ASM』
000047	G689	N-ASM-P	『N-ASM-P』
000048	G689	N-NSM-P	『N-NSM-P』
000049	G1161	CONJ	『CONJ』
000050	G1080	V-AAI-3S	『V-AAI-3S』
000051	G3588	T-ASM	『T-ASM』
000052	G284	N-ASM-P	『N-ASM-P』
000053	G284	N-NSM-P	『N-NSM-P』
000054	G1161	CONJ	『CONJ』
000055	G1080	V-AAI-3S	『V-AAI-3S』
000056	G3588	T-ASM	『T-ASM』
000057	G3476	N-ASM-P	『N-ASM-P』
000058	G3476	N-NSM-P	『N-NSM-P』
000059	G1161	CONJ	『CONJ』
000060	G1080	V-AAI-3S	『V-AAI-3S』
000061	G3588	T-ASM	『T-ASM』
000062	G4533	N-ASM-P	『N-ASM-P』
000063	G4533	N-NSM-P	『N-NSM-P』
000064	G1161	CONJ	『CONJ』
000065	G1080	V-AAI-3S	『V-AAI-3S』
000066	G3588	T-ASM	『T-ASM』
000067	G1003	N-ASM-P	『N-ASM-P』
000068	G1537	PREP	『PREP』
000069	G3588	T-GSF	『T-GSF』
000070	G4477	N-GSF-P	『N-GSF-P』
000071	G1003	N-NSM-P	『N-NSM-P』
000072	G1161	CONJ	『CONJ』
000073	G1080	V-AAI-3S	『V-AAI-3S』
000074	G3588	T-ASM	『T-ASM』
000075	G5601	N-ASM-P	『N-ASM-P』
000076	G1537	PREP	『PREP』
000077	G3588	T-GSF	『T-GSF』
000078	G4503	N-GSF-P	『N-GSF-P』
000079	G5601	N-NSM-P	『N-NSM-P』
000080	G1161	CONJ	『CONJ』
000081	G1080	V-AAI-3S	『V-AAI-3S』
000082	G3588	T-ASM	『T-ASM』
000083	G2421	N-ASM-P	『N-ASM-P』
000084	G2421	N-NSM-P	『N-NSM-P』
000085	G1161	CONJ	『CONJ』
000086	G1080	V-AAI-3S	『V-AAI-3S』
000087	G3588	T-ASM	『T-ASM』
000088	G1138	N-ASM-P	『N-ASM-P』
000089	G3588	T-ASM	『T-ASM』
000090	G935	N-ASM	『N-ASM』
000091	G1138	N-NSM-P	『N-NSM-P』
000092	G1161	CONJ	『CONJ』
000093	G1080	V-AAI-3S	『V-AAI-3S』
000094	G3588	T-ASM	『T-ASM』
000095	G4672	N-ASM-P	『N-ASM-P』
000096	G1537	PREP	『PREP』
000097	G3588	T-GSF	『T-GSF』
000098	G3588	T-GSM	『T-GSM』
000099	G3774	N-GSM-P	『N-GSM-P』
000100	G4672	N-NSM-P	『N-NSM-P』
000101	G1161	CONJ	『CONJ』
000102	G1080	V-AAI-3S	『V-AAI-3S』
000103	G3588	T-ASM	『T-ASM』
000104	G4497	N-ASM-P	『N-ASM-P』
000105	G4497	N-NSM-P	『N-NSM-P』
000106	G1161	CONJ	『CONJ』
000107	G1080	V-AAI-3S	『V-AAI-3S』
000108	G3588	T-ASM	『T-ASM』
000109	G7	N-ASM-P	『N-ASM-P』
000110	G7	N-NSM-P	『N-NSM-P』
000111	G1161	CONJ	『CONJ』
000112	G1080	V-AAI-3S	『V-AAI-3S』
000113	G3588	T-ASM	『T-ASM』
000114	G760	N-ASM-P	『N-ASM-P』
000115	G760	N-NSM-P	『N-NSM-P』
000116	G1161	CONJ	『CONJ』
000117	G1080	V-AAI-3S	『V-AAI-3S』
000118	G3588	T-ASM	『T-ASM』
000119	G2498	N-ASM-P	『N-ASM-P』
000120	G2498	N-NSM-P	『N-NSM-P』
000121	G1161	CONJ	『CONJ』
000122	G1080	V-AAI-3S	『V-AAI-3S』
000123	G3588	T-ASM	『T-ASM』
000124	G2496	N-ASM-P	『N-ASM-P』
000125	G2496	N-NSM-P	『N-NSM-P』
000126	G1161	CONJ	『CONJ』
000127	G1080	V-AAI-3S	『V-AAI-3S』
000128	G3588	T-ASM	『T-ASM』
000129	G3604	N-ASM-P	『N-ASM-P』
000130	G3604	N-NSM-P	『N-NSM-P』
000131	G1161	CONJ	『CONJ』
000132	G1080	V-AAI-3S	『V-AAI-3S』
000133	G3588	T-ASM	『T-ASM』
000134	G2488	N-ASM-P	『N-ASM-P』
000135	G2488	N-NSM-P	『N-NSM-P』
000136	G1161	CONJ	『CONJ』
000137	G1080	V-AAI-3S	『V-AAI-3S』
000138	G3588	T-ASM	『T-ASM』
000139	G881	N-ASM-P	『N-ASM-P』
000140	G881	N-NSM-P	『N-NSM-P』
000141	G1161	CONJ	『CONJ』
000142	G1080	V-AAI-3S	『V-AAI-3S』
000143	G3588	T-ASM	『T-ASM』
000144	G1478	N-ASM-P	『N-ASM-P』
000145	G1478	N-NSM-P	『N-NSM-P』
000146	G1161	CONJ	『CONJ』
000147	G1080	V-AAI-3S	『V-AAI-3S』
000148	G3588	T-ASM	『T-ASM』
000149	G3128	N-ASM-P	『N-ASM-P』
000150	G3128	N-NSM-P	『N-NSM-P』
000151	G1161	CONJ	『CONJ』
000152	G1080	V-AAI-3S	『V-AAI-3S』
000153	G3588	T-ASM	『T-ASM』
000154	G301	N-ASM-P	『N-ASM-P』
000155	G301	N-NSM-P	『N-NSM-P』
000156	G1161	CONJ	『CONJ』
000157	G1080	V-AAI-3S	『V-AAI-3S』
000158	G3588	T-ASM	『T-ASM』
000159	G2502	N-ASM-P	『N-ASM-P』
000160	G2502	N-NSM-P	『N-NSM-P』
000161	G1161	CONJ	『CONJ』
000162	G1080	V-AAI-3S	『V-AAI-3S』
000163	G3588	T-ASM	『T-ASM』
000164	G2423	N-ASM-P	『N-ASM-P』
000165	G2532	CONJ	『CONJ』
000166	G3588	T-APM	『T-APM』
000167	G80	N-APM	『N-APM』
000168	G846	P-GSM	『P-GSM』
000169	G1909	PREP	『PREP』
000170	G3588	T-GSF	『T-GSF』
000171	G3350	N-GSF	『N-GSF』
000172	G897	N-GSF-L	『N-GSF-L』
000173	G3326	PREP	『PREP』
000174	G1161	CONJ	『CONJ』
000175	G3588	T-ASF	『T-ASF』
000176	G3350	N-ASF	『N-ASF』
000177	G897	N-GSF-L	『N-GSF-L』
000178	G2423	N-NSM-P	『N-NSM-P』
000179	G1080	V-AAI-3S	『V-AAI-3S』
000180	G3588	T-ASM	『T-ASM』
000181	G4528	N-ASM-P	『N-ASM-P』
000182	G4528	N-NSM-P	『N-NSM-P』
000183	G1161	CONJ	『CONJ』
000184	G1080	V-AAI-3S	『V-AAI-3S』
000185	G3588	T-ASM	『T-ASM』
000186	G2216	N-ASM-P	『N-ASM-P』
000187	G2216	N-NSM-P	『N-NSM-P』
000188	G1161	CONJ	『CONJ』
000189	G1080	V-AAI-3S	『V-AAI-3S』
000190	G3588	T-ASM	『T-ASM』
000191	G10	N-ASM-P	『N-ASM-P』
000192	G10	N-NSM-P	『N-NSM-P』
000193	G1161	CONJ	『CONJ』
000194	G1080	V-AAI-3S	『V-AAI-3S』
000195	G3588	T-ASM	『T-ASM』
000196	G1662	N-ASM-P	『N-ASM-P』
000197	G1662	N-NSM-P	『N-NSM-P』
000198	G1161	CONJ	『CONJ』
000199	G1080	V-AAI-3S	『V-AAI-3S』
000200	G3588	T-ASM	『T-ASM』
000201	G107	N-ASM-P	『N-ASM-P』
000202	G107	N-NSM-P	『N-NSM-P』
000203	G1161	CONJ	『CONJ』
000204	G1080	V-AAI-3S	『V-AAI-3S』
000205	G3588	T-ASM	『T-ASM』
000206	G4524	N-ASM-P	『N-ASM-P』
000207	G4524	N-NSM-P	『N-NSM-P』
000208	G1161	CONJ	『CONJ』
000209	G1080	V-AAI-3S	『V-AAI-3S』
000210	G3588	T-ASM	『T-ASM』
000211	G885	N-ASM-P	『N-ASM-P』
000212	G885	N-NSM-P	『N-NSM-P』
000213	G1161	CONJ	『CONJ』
000214	G1080	V-AAI-3S	『V-AAI-3S』
000215	G3588	T-ASM	『T-ASM』
000216	G1664	N-ASM-P	『N-ASM-P』
000217	G1664	N-NSM-P	『N-NSM-P』
000218	G1161	CONJ	『CONJ』
000219	G1080	V-AAI-3S	『V-AAI-3S』
000220	G3588	T-ASM	『T-ASM』
000221	G1648	N-ASM-P	『N-ASM-P』
000222	G1648	N-NSM-P	『N-NSM-P』
000223	G1161	CONJ	『CONJ』
000224	G1080	V-AAI-3S	『V-AAI-3S』
000225	G3588	T-ASM	『T-ASM』
000226	G3157	N-ASM-P	『N-ASM-P』
000227	G3157	N-NSM-P	『N-NSM-P』
000228	G1161	CONJ	『CONJ』
000229	G1080	V-AAI-3S	『V-AAI-3S』
000230	G3588	T-ASM	『T-ASM』
000231	G2384	N-ASM-P	『N-ASM-P』
000232	G2384	N-NSM-P	『N-NSM-P』
000233	G1161	CONJ	『CONJ』
000234	G1080	V-AAI-3S	『V-AAI-3S』
000235	G3588	T-ASM	『T-ASM』
000236	G2501	N-ASM-P	『N-ASM-P』
000237	G3588	T-ASM	『T-ASM』
000238	G435	N-ASM	『N-ASM』
000239	G3137	N-GSF-P	『N-GSF-P』
000240	G1537	PREP	『PREP』
000241	G3739	R-GSF	『R-GSF』
000242	G1080	V-API-3S	『V-API-3S』
000243	G2424	N-NSM-P	『N-NSM-P』
000244	G3588	T-NSM	『T-NSM』
000245	G3004	V-PPP-NSM	『V-PPP-NSM』
000246	G5547	N-NSM-T	『N-NSM-T』
000247	G3956	A-NPF	『A-NPF』
000248	G3767	CONJ	『CONJ』
000249	G3588	T-NPF	『T-NPF』
000250	G1074	N-NPF	『N-NPF』
000251	G575	PREP	『PREP』
000252	G11	N-GSM-P	『N-GSM-P』
000253	G2193	PREP	『PREP』
000254	G1138	N-GSM-P	『N-GSM-P』
000255	G1074	N-NPF	『N-NPF』
000256	G1180	A-NPF	『A-NPF』
000257	G2532	CONJ	『CONJ』
000258	G575	PREP	『PREP』
000259	G1138	N-GSM-P	『N-GSM-P』
000260	G2193	PREP	『PREP』
000261	G3588	T-GSF	『T-GSF』
000262	G3350	N-GSF	『N-GSF』
000263	G897	N-GSF-L	『N-GSF-L』
000264	G1074	N-NPF	『N-NPF』
000265	G1180	A-NPF	『A-NPF』
000266	G2532	CONJ	『CONJ』
000267	G575	PREP	『PREP』
000268	G3588	T-GSF	『T-GSF』
000269	G3350	N-GSF	『N-GSF』
000270	G897	N-GSF-L	『N-GSF-L』
000271	G2193	PREP	『PREP』
000272	G3588	T-GSM	『T-GSM』
000273	G5547	N-GSM-T	『N-GSM-T』
000274	G1074	N-NPF	『N-NPF』
000275	G1180	A-NPF	『A-NPF』
000276	G3588	T-GSM	『T-GSM』
000277	G1161	CONJ	『CONJ』
000278	G2424	N-GSM-P	『N-GSM-P』
000279	G5547	N-GSM-T	『N-GSM-T』
000280	G3588	T-NSF	『T-NSF』
000281	G1078	N-NSF	『N-NSF』
000282	G3779	ADV	『ADV』
000283	G1510	V-IAI-3S	『V-IAI-3S』
000284	G3423	V-APP-GSF	『V-APP-GSF』
000285	G3588	T-GSF	『T-GSF』
000286	G3384	N-GSF	『N-GSF』
000287	G846	P-GSM	『P-GSM』
000288	G3137	N-GSF-P	『N-GSF-P』
000289	G3588	T-DSM	『T-DSM』
000290	G2501	N-DSM-P	『N-DSM-P』
000291	G4250	ADV	『ADV』
000292	G2228	CONJ	『CONJ』
000293	G4905	V-2AAN	『V-2AAN』
