L700001	ἆ	a [a]	I [Interjection]	ah; alas!	<i>LSJ: </i>a)=<hr><grk>ἆ</grk>｜<font color='4'>I</font>｜<i>interjection</i>
L700002	αʹ	a [a]	M [Indeclinable Number]	1; alpha	<grk>α᾿</grk>｜<font color='4'>M</font>｜<i>indeclinable number</i>
L700003	Ααλαφ	aalaph [aalaf]	Np [Proper Noun]	Aalaph; Aalaf	<grk>Ααλαφ</grk>｜<font color='4'>N.AS</font>｜<i>noun, Acc Sing</i>
L700004	Ααρα	aara [aara]	Np [Proper Noun]	Aara	<grk>Ααρα</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i>
L700005	Ἀαρών	aarōn [aaron]	Np [Proper Noun]	Aarōn; Aaron	<a href='S:G2'><grk>Ἀαρών</grk></a>; <big>אַהֲרֹון</big>&#x200E;<hr><grk>Ααρων</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Ααρων</grk>｜<font color='4'>N.DS</font>｜<i>noun, Dat Sing</i><br><grk>Ααρων</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Ααρων</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Ααρων</grk>｜<font color='4'>N.NS</font>｜<i>noun, Nom Sing</i><br><grk>Ααρων</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i><br><grk>Ααρων</grk>｜<font color='4'>N.NSN</font>｜<i>noun, Nom Sing Neut</i><br><grk>Ααρων</grk>｜<font color='4'>N.VSM</font>｜<i>noun, Voc Sing Masc</i>
L700006	Ἀαρωνίδης	aarōnidēs [aaroniyðiys]	Np [Proper Noun]	Aarōnidēs; Aaronithis	<grk>Ααρωνίδης</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700007	Αβαδια	abadia [avaðiya]	Np [Proper Noun]	Abadia; Avathia	<grk>Αβαδια</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700008	Αβαδιας	abadias [avaðiyas]	Np [Proper Noun]	Abadias; Avathias	<grk>Αβαδιας</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700009	Αβαδων	abadōn [avaðon]	Np [Proper Noun]	Abadōn; Avathon	<grk>Αβαδων</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβαδων</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700010	Αβαιαν	abaian [avean]	Np [Proper Noun]	Abaian; Avean	<grk>Αβαιαν</grk>｜<font color='4'>N.GSF</font>｜<i>noun, Gen Sing Fem</i>
