1	<a href='S:ἆ'><font color='3'>ἆ</font></a> 【<font color='4'>I</font>】<i>Interjection</i><br><font color='5'>a</font>｜<font color='5'>a</font><br><font color='1'>ah; alas!</font><hr><grk>ἆ</grk>｜<font color='4'>I</font>｜<i>interjection</i><i>LSJ: </i><a href='S:a)='>a)=</a>
2	<a href='S:αʹ'><font color='3'>αʹ</font></a> 【<font color='4'>M</font>】<i>Indeclinable Number</i><br><font color='5'>a</font>｜<font color='5'>a</font><br><font color='1'>1; alpha</font><hr><grk>α᾿</grk>｜<font color='4'>M</font>｜<i>indeclinable number</i>
3	<a href='S:Ααλαφ'><font color='3'>Ααλαφ</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>aalaph</font>｜<font color='5'>aalaf</font><br><font color='1'>Aalaph; Aalaf</font><hr><grk>Ααλαφ</grk>｜<font color='4'>N.AS</font>｜<i>noun, Acc Sing</i>
4	<a href='S:Ααρα'><font color='3'>Ααρα</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>aara</font>｜<font color='5'>aara</font><br><font color='1'>Aara</font><hr><grk>Ααρα</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i>
5	<a href='S:Ἀαρών'><font color='3'>Ἀαρών</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>aarōn</font>｜<font color='5'>aaron</font><br><font color='1'>Aarōn; Aaron</font><hr><grk>Ααρων</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Ααρων</grk>｜<font color='4'>N.DS</font>｜<i>noun, Dat Sing</i><br><grk>Ααρων</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Ααρων</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Ααρων</grk>｜<font color='4'>N.NS</font>｜<i>noun, Nom Sing</i><br><grk>Ααρων</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i><br><grk>Ααρων</grk>｜<font color='4'>N.NSN</font>｜<i>noun, Nom Sing Neut</i><br><grk>Ααρων</grk>｜<font color='4'>N.VSM</font>｜<i>noun, Voc Sing Masc</i><a href='S:G2'><grk>Ἀαρών</grk></a>; <a href='S:H175'><big>אַהֲרֹון</big>&#x200E;</a>
6	<a href='S:Ἀαρωνίδης'><font color='3'>Ἀαρωνίδης</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>aarōnidēs</font>｜<font color='5'>aaroniyðiys</font><br><font color='1'>Aarōnidēs; Aaronithis</font><hr><grk>Ααρωνίδης</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
7	<a href='S:Αβαδια'><font color='3'>Αβαδια</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>abadia</font>｜<font color='5'>avaðiya</font><br><font color='1'>Abadia; Avathia</font><hr><grk>Αβαδια</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
8	<a href='S:Αβαδιας'><font color='3'>Αβαδιας</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>abadias</font>｜<font color='5'>avaðiyas</font><br><font color='1'>Abadias; Avathias</font><hr><grk>Αβαδιας</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
9	<a href='S:Αβαδων'><font color='3'>Αβαδων</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>abadōn</font>｜<font color='5'>avaðon</font><br><font color='1'>Abadōn; Avathon</font><hr><grk>Αβαδων</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβαδων</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
10	<a href='S:Αβαιαν'><font color='3'>Αβαιαν</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>abaian</font>｜<font color='5'>avean</font><br><font color='1'>Abaian; Avean</font><hr><grk>Αβαιαν</grk>｜<font color='4'>N.GSF</font>｜<i>noun, Gen Sing Fem</i>
11	<a href='S:Αβαισαν'><font color='3'>Αβαισαν</font></a> 【<font color='4'>Np</font>】<i>Proper Noun</i><br><font color='5'>abaisan</font>｜<font color='5'>avesan</font><br><font color='1'>Abaisan; Avesan</font><hr><grk>Αβαισαν</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
